,index,url,supermarket,referencia
974,2563,https://tienda.mercadona.es/product/53147/salchichas-cocidas-solo-3-grasa-hacendado-pavo-sabor-ahumado-pack-2,mercadona-es,100139
975,2575,https://tienda.mercadona.es/product/59158/chorizo-pavo-hacendado-lonchas-pack-4,mercadona-es,100140
976,2636,https://tienda.mercadona.es/product/52181/crema-untar-pavo-hacendado-pack-2,mercadona-es,100141
977,3560,https://tienda.mercadona.es/product/52058/pate-perro-junior-delikuit-con-pollo-pavo-verduras-tarrina,mercadona-es,100142
978,3795,https://tienda.mercadona.es/product/9246/papilla-verduritas-con-delicias-pavo-hero-baby-natur-6-meses-tarrito,mercadona-es,100143
979,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100144
1024,4049,https://tienda.mercadona.es/product/59247/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-paquete,mercadona-es,100145
980,4050,https://tienda.mercadona.es/product/59207/pechuga-pavo-hacendado-finas-lonchas-paquete,mercadona-es,100146
981,4051,https://tienda.mercadona.es/product/59230/pechuga-pavo-0-mg-hacendado-corte-paquete,mercadona-es,100147
982,4052,https://tienda.mercadona.es/product/59165/longaniza-pavo-extra-hacendado-lonchas-pack-4,mercadona-es,100148
983,4053,https://tienda.mercadona.es/product/56619/jamon-pavo-hacendado-finas-lonchas-paquete,mercadona-es,100149
914,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100150
984,4056,https://tienda.mercadona.es/product/53140/pechuga-pavo-horno-lena-campofrio-lonchas-pavofrio-paquete,mercadona-es,100151
985,4057,https://tienda.mercadona.es/product/59217/pechuga-pavo-0-mg-hacendado-pieza,mercadona-es,100152
986,4058,https://tienda.mercadona.es/product/59168/pechuga-pavo-natural-noel-lonchas-paquete,mercadona-es,100153
987,4060,https://tienda.mercadona.es/product/55136/longaniza-pavo-imperial-extra-hacendado-pieza,mercadona-es,100154
988,4062,https://tienda.mercadona.es/product/59089/pechuga-pavo-pimienta-hacendado-finas-lonchas-paquete,mercadona-es,100155
989,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100156
1025,4063,https://tienda.mercadona.es/product/4577/fiambre-pechuga-pavo-sajonia-serrano-ahumado-natural-paquete,mercadona-es,100157
990,4524,https://tienda.mercadona.es/product/59033/chorizo-pavo-imperial-extra-hacendado-pieza,mercadona-es,100158
965,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100159
1015,2173,https://tienda.mercadona.es/product/59252/pechuga-pavo-bajo-sal-hacendado-finas-lonchas-pack-2,mercadona-es,100160
973,2185,https://tienda.mercadona.es/product/59227/pechuga-pavo-bajo-sal-hacendado-pieza,mercadona-es,100161
